순위,상품코드,판매상품ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행일자,분야
1,9791193506202,S000212053843,아이는 무엇으로 자라는가,"17,500","15,750",10%,5%,870,버지니아 사티어,포레스트북스,20231218,가정/육아
2,9788915999008,S000213747758,임신 출산 육아 대백과(2024-2025),"19,500","17,550",10%,5%,970,삼성출판사 편집부,삼성출판사,20240715,가정/육아
3,9788934965404,S000212675550,국어 잘하는 아이가 이깁니다,"17,500","15,750",10%,5%,870,나민애,김영사,20240315,가정/육아
4,9791195795505,S000001967750,삐뽀삐뽀 119 소아과,"29,800","26,820",10%,5%,"1,490",하정훈,유니책방,20240105,가정/육아
5,9791198752406,S000213259785,나는 다정한 관찰자가 되기로 했다,"17,800","16,020",10%,5%,890,이은경,서교책방,20240530,가정/육아
6,9791168127531,S000208779616,최민준의 아들코칭 백과,"18,800","16,920",10%,5%,940,최민준,위즈덤하우스,20230830,가정/육아
7,9791197672125,S000001987855,똑게육아(리커버:K),"22,200","19,980",10%,5%,"1,110",로리(김준희),북로스트,20220224,가정/육아
8,9791168271999,S000213513428,부모의 어휘력,"19,000","17,100",10%,5%,950,김종원,카시오페아,20240617,가정/육아
9,9791186494431,S000001886110,세상에서 제일 재밌는 종이접기,"14,000","12,600",10%,5%,700,네모아저씨 이원표,슬로래빗,20180824,가정/육아
10,9791193842003,S000212413688,우리동네 어린이병원 육아대백과,"27,000","24,300",10%,5%,"1,350",박소영 외,청림라이프,20240306,가정/육아
11,9788934986652,S000000597842,어떻게 말해줘야 할까,"19,800","17,820",10%,5%,990,오은영,김영사,20201025,가정/육아
12,9791164052202,S000209651374,영혼이 강한 아이로 키워라,"17,500","15,750",10%,5%,870,조선미,북하우스,20231030,가정/육아
13,9791193407219,S000213056662,4~7세 보고 만지는 수학은 이렇게 가르칩니다,"25,000","22,500",10%,5%,"1,250",최경희,블루무스,20240430,가정/육아
14,9791165348670,S000211624680,SKY 로드맵,"18,000","16,200",10%,5%,900,이병훈,쌤앤파커스,20231228,가정/육아
15,9791130651514,S000212649167,기적의 서울대 쌍둥이 공부법,"19,000","17,100",10%,5%,950,여호원 외,다산에듀,20240312,가정/육아
16,9791164133055,S000001825877,엄마 나는 자라고 있어요,"22,000","19,800",10%,5%,"1,100",헤티 판 더 레이트 외,북폴리오,20191115,가정/육아
17,9788952736574,S000000730628,아기 발달 백과,"20,000","18,000",10%,5%,"1,000",김수연,지식너머,20190722,가정/육아
18,9791186202753,S000211880065,첫 1년 움직임의 비밀,"18,000","16,200",10%,5%,900,마리안 헤름센-판 완로이,푸른씨앗,20240115,가정/육아
19,9791188053902,S000001909730,하루 한 장 임신 출산 데일리북,"27,500","24,750",10%,5%,"1,370",김문영 외,이덴슬리벨,20200715,가정/육아
20,9791164052356,S000211987833,조선미의 초등생활 상담소,"18,500","16,650",10%,5%,920,조선미,북하우스,20240123,가정/육아
21,9791190776820,S000001943656,4~7세보다 중요한 시기는 없습니다(15만 부 기념 에디션),"19,000","17,100",10%,5%,950,이임숙,카시오페아,20210802,가정/육아
22,9791185402628,S000061451106,세줄쓰기,"12,000","10,800",10%,5%,600,이은경,상상아카데미,20220720,가정/육아
23,9791164052035,S000201457997,조선미의 현실 육아 상담소,"17,500","15,750",10%,5%,870,조선미,북하우스,20230420,가정/육아
24,9791193937228,S000214299107,마음이 부자인 아이는 어떻게 성장하는가,"19,800","17,820",10%,5%,990,박소영,북크레용,20240925,가정/육아
25,9791168271432,S000210144610,66일 자존감 대화법,"18,000","16,200",10%,5%,900,김종원,카시오페아,20231013,가정/육아
26,9791168271838,S000213175474,엄마의 말 그릇,"19,000","17,100",10%,5%,950,김윤나,카시오페아,20240510,가정/육아
27,9791198129109,S000200608044,베싸육아,"22,000","20,000",9%,5%,"1,100",박정은,래디시,20230118,가정/육아
28,9791165797140,S000001840681,작은 변화에도 걱정이 많아지는 예비 엄마들에게,"20,000","18,000",10%,5%,"1,000",전종관,시공사,20211007,가정/육아
29,9788965749868,S000001026120,내 아이를 위한 감정코칭,"20,000","18,000",10%,5%,"1,000",최성애 외,해냄출판사,20200215,가정/육아
30,9791130658452,S000214512007,성적을 부탁해 티처스,"22,000","19,800",10%,5%,"1,100",정승제 외,다산에듀,20241029,가정/육아
1,9791198553317,S000211741146,내 몸 혁명,"19,500","17,550",10%,5%,970,박용우,루미너스,20240110,건강
2,9791193080146,S000211554487,느리게 나이 드는 습관,"18,000","16,200",10%,5%,900,정희원,한빛라이프,20231211,건강
3,9791141606862,S000213848131,저속노화 식사법,"19,000","17,100",10%,5%,950,정희원,테이스트북스,20240726,건강
4,9791197437311,S000001986541,백년허리 2: 치료편,"18,500","16,650",10%,5%,920,정선근,언탱글링,20210513,건강
5,9791165348458,S000211385526,아무도 늙지 않는 세상,"18,000","16,200",10%,5%,900,라정찬,쌤앤파커스,20231225,건강
6,9791197437304,S000001986540,백년허리 1: 진단편,"18,500","16,650",10%,5%,920,정선근,언탱글링,20210415,건강
7,9791196834005,S000001981146,백년운동,"19,500","17,550",10%,5%,970,정선근,아티잔,20191031,건강
8,9788901285146,S000213667191,해독 혁명,"18,500","16,650",10%,5%,920,닥터 라이블리(최지영),웅진지식하우스,20240630,건강
9,9791165349837,S000213741983,3분만 바라보면 눈이 젊어진다,"13,800","12,420",10%,5%,690,히라마쓰 루이,쌤앤파커스,20240724,건강
10,9791192389400,S000209351212,의학의 대가들,"25,000","22,500",10%,5%,"1,250",앤드루 램,상상스퀘어,20230927,건강
11,9791187330295,S000208506254,완전배출,"19,000","17,100",10%,5%,950,조승우,사이몬북스,20230901,건강
12,9791158773120,S000061897300,건강과 다이어트를 동시에 잡는 7대 3의 법칙 채소·과일식(10만 부 기념 스페셜 에디션),"19,000","17,100",10%,5%,950,조승우,바이북스,20221020,건강
13,9791196334703,S000001974970,지방 대사 켜는 스위치온 다이어트,"16,000","14,400",10%,5%,800,박용우,루미너스,20180325,건강
14,9788927880325,S000212806544,세상에서 가장 알기 쉬운 근육연결도감,"17,500","15,750",10%,5%,870,키마타 료,중앙북스,20240327,건강
15,9788993784817,S000212577524,다니엘스의 러닝 포뮬러,"22,000","19,800",10%,5%,"1,100",잭 다니엘스,인간희극,20240410,건강
16,9791159433405,S000061442604,글루코스 혁명,"18,000","18,000",0%,3%,540,제시 인차우스페,아침사과,20220712,건강
17,9788960179110,S000000920070,놓아버림,"19,000","17,100",10%,5%,950,데이비드 호킨스,판미동,20131010,건강
18,9791197437373,S000213659856,백년목 1,"22,000","19,800",10%,5%,"1,100",정선근,언탱글링,20240625,건강
19,9791197437380,S000213842023,백년목 2,"22,000","19,800",10%,5%,"1,100",정선근,언탱글링,20240718,건강
20,9791193506684,S000213745846,내장비만,"18,800","16,920",10%,5%,940,이왕림,포레스트북스,20240710,건강
21,9791197834202,S000001988372,다이어트 사이언스(2022),"22,000","19,800",10%,5%,"1,100",최겸,린체인저스,20220323,건강
22,9791160322200,S000212302484,양선수의 온라인 PT,"25,800","23,220",10%,5%,"1,290",양선수,싸이프레스,20240217,건강
23,9791189809621,S000211029600,병에 걸려도 잘 사는 법,"21,000","18,900",10%,5%,"1,050",김영길,서울셀렉션,20231106,건강
24,9788967441791,S000001047356,환자 혁명,"15,000","13,500",10%,5%,750,조한경,에디터,20171111,건강
25,9791130694801,S000200143409,염증 해방,"18,000","16,200",10%,5%,900,정세연,다산라이프,20221110,건강
26,9791187512943,S000212997203,느리게 나이 드는 기억력의 비밀,"19,800","17,820",10%,5%,990,김희진,앵글북스,20240430,건강
27,9788967440725,S000001047333,의사들도 모르는 기적의 간 청소,"16,000","14,400",10%,5%,800,안드레아스 모리츠,에디터,20150107,건강
28,9791130651415,S000212713969,완전 소화,"20,000","18,000",10%,5%,"1,000",류은경,다산라이프,20240314,건강
29,9791130646664,S000210137650,기적의 자세요정,"22,000","19,800",10%,5%,"1,100",자세요정,다산라이프,20231012,건강
30,9791186552797,S000209650489,운동화 신은 뇌,"16,000","14,400",10%,5%,800,존 레이티 외,녹색지팡이,20231001,건강
1,9791198517425,S000212321676,불변의 법칙,"25,000","22,500",10%,5%,"1,250",모건 하우절,서삼독,20240228,경제/경영
2,9791191056372,S000001947552,돈의 심리학(30만 부 기념 스페셜 에디션),"19,800","17,820",10%,5%,990,모건 하우절,인플루엔셜,20231106,경제/경영
3,9788959897223,S000214208202,트렌드 코리아 2025,"20,000","18,000",10%,5%,"1,000",김난도 외,미래의창,20241007,경제/경영
4,9791198686114,S000213368065,THE MONEY BOOK(더 머니북),"22,000","19,800",10%,5%,"1,100",토스,비바리퍼블리카,20240527,경제/경영
5,9791140707492,S000211647166,처음부터 시작하는 주식투자 단타전략,"21,000","18,900",10%,5%,"1,050",홍인기,길벗,20231222,경제/경영
6,9791188331796,S000001913217,돈의 속성(400쇄 리커버에디션),"17,800","16,020",10%,5%,890,김승호,스노우폭스북스,20200615,경제/경영
7,9788957365793,S000000848997,자본주의,"22,000","19,800",10%,5%,"1,100",EBS 자본주의 제작팀,가나출판사,20130927,경제/경영
8,9791158883591,S000001772245,부자 아빠 가난한 아빠 1(20주년 특별 기념판),"17,000","15,300",10%,5%,850,로버트 기요사키,민음인,20221028,경제/경영
9,9791170610359,S000209151495,시대예보: 핵개인의 시대,"21,000","18,900",10%,5%,"1,050",송길영,교보문고,20230925,경제/경영
10,9788959897179,S000209007998,트렌드 코리아 2024,"19,000","17,100",10%,5%,950,김난도 외,미래의창,20231012,경제/경영
11,9791170611875,S000214215646,시대예보: 호명사회,"22,000","19,800",10%,5%,"1,100",송길영,교보문고,20240925,경제/경영
12,9788997743605,S000212056636,퍼스널 MBA(10주년 기념 증보판),"35,500","31,950",10%,5%,"1,770",조시 카우프만,진성북스,20240125,경제/경영
13,9791187444725,S000001901955,부의 추월차선(10주년 스페셜 에디션),"17,500","15,750",10%,5%,870,엠제이 드마코,토트,20220204,경제/경영
14,9791171171989,S000211520609,나는 배당투자로 매일 스타벅스 커피를 공짜로 마신다,"24,000","21,600",10%,5%,"1,200",송민섭(수페TV),21세기북스,20231206,경제/경영
15,9791130697246,S000200940784,레버리지,"18,000","16,200",10%,5%,900,롭 무어,다산북스,20230215,경제/경영
16,9791193358511,S000211811367,사는 동안 한 번은 팔아봐라,"19,800","17,820",10%,5%,990,서과장,마인드셋,20240110,경제/경영
17,9788925575438,S000212146919,컨셉 수업,"22,000","19,800",10%,5%,"1,100",호소다 다카히로,알에이치코리아,20240124,경제/경영
18,9788901279282,S000211905581,유목민의 투자의 정석,"28,000","25,200",10%,5%,"1,400",유목민,리더스북,20240117,경제/경영
19,9791188331888,S000201274192,사장학개론,"25,000","22,500",10%,5%,"1,250",김승호,스노우폭스북스,20230419,경제/경영
20,9791198252487,S000212145658,비트코인 슈퍼 사이클,"25,000","22,500",10%,5%,"1,250",신민철(처리형),거인의정원,20240125,경제/경영
21,9791140710027,S000213299774,원칙으로 수익 내는 단타의 기술,"22,000","19,800",10%,5%,"1,100",원정연(만쥬),길벗,20240531,경제/경영
22,9791130633619,S000001687079,부자의 그릇(블랙 에디션),"17,000","15,300",10%,5%,850,이즈미 마사토,다산북스,20240501,경제/경영
23,9791198987600,S000214710919,트럼프 2.0 시대,"20,000","18,000",10%,5%,"1,000",박종훈,글로퍼스,20241108,경제/경영
24,9791198564139,S000213096859,어떻게 살 것인가,"17,000","15,300",10%,5%,850,이광수,이든하우스,20240502,경제/경영
25,9791190238977,S000210137571,AI 2024 트렌드&활용백과,"22,000","19,800",10%,5%,"1,100",김덕진,스마트북스,20231025,경제/경영
26,9788957825945,S000000858148,월가의 영웅,"26,000","23,400",10%,5%,"1,300",피터 린치 외,국일증권경제연구소,20210730,경제/경영
27,9791157847679,S000214298857,박태웅의 AI 강의 2025,"18,800","16,920",10%,5%,940,박태웅,한빛비즈,20240930,경제/경영
28,9791155815656,S000200472901,마케팅 설계자,"24,800","22,320",10%,5%,"1,240",러셀 브런슨,윌북,20221230,경제/경영
29,9791157842636,S000001760938,원칙,"35,000","31,500",10%,5%,"1,750",레이 달리오,한빛비즈,20180618,경제/경영
30,9791193937211,S000214175643,머니 트렌드 2025,"25,000","22,500",10%,5%,"1,250",정태익 외,북모먼트,20241002,경제/경영
1,9791189327156,S000001925800,물고기는 존재하지 않는다,"17,000","15,300",10%,5%,850,룰루 밀러,곰출판,20211217,과학
2,9788983711892,S000001290624,코스모스,"19,900","17,910",10%,5%,990,칼 세이건,사이언스북스,20100120,과학
3,9788932473901,S000000576524,이기적 유전자,"20,000","18,000",10%,5%,"1,000",리처드 도킨스,을유문화사,20230130,과학
4,9788955617085,S000000805747,침팬지 폴리틱스,"18,000","16,200",10%,5%,900,프란스 드 발,바다출판사,20180309,과학
5,9791130655017,S000213944257,찬란한 멸종,"21,000","18,900",10%,5%,"1,050",이정모,다산북스,20240807,과학
6,9788965966197,S000212601667,나라는 착각,"22,000","19,800",10%,5%,"1,100",그레고리 번스,흐름출판,20240302,과학
7,9791197413025,S000001986381,다정한 것이 살아남는다,"22,000","19,800",10%,5%,"1,100",브라이언 헤어 외,디플롯,20210726,과학
8,9791166891496,S000201850980,하늘과 바람과 별과 인간,"17,800","16,020",10%,5%,890,김상욱,바다출판사,20230526,과학
9,9791165348472,S000211507741,나 없이는 존재하지 않는 세상,"18,000","16,200",10%,5%,900,카를로 로벨리,쌤앤파커스,20231201,과학
10,9791162543931,S000214507019,비전공자도 이해할 수 있는 AI 지식(10만부 기념 개정판),"19,800","17,820",10%,5%,990,박상길,비즈니스북스,20241022,과학
11,9791191122459,S000210870284,과학을 보다: 우주의 비밀에서 과학자의 머릿속까지,"19,800","17,820",10%,5%,990,김범준 외,알파미디어,20231117,과학
12,9791167741448,S000212905941,호르몬은 어떻게 나를 움직이는가,"22,000","19,800",10%,5%,"1,100",막스 니우도르프,어크로스,20240409,과학
13,9791140708437,S000212264751,수학의 힘,"20,000","18,000",10%,5%,"1,000",올리버 존슨,더퀘스트,20240221,과학
14,9791189198862,S000001923922,종의 기원,"22,000","19,800",10%,5%,"1,100",찰스 다윈 외,사이언스북스,20190731,과학
15,9791157847143,S000211743218,만화로 배우는 멸종과 진화,"22,000","19,800",10%,5%,"1,100",김도윤,한빛비즈,20240110,과학
16,9791165349936,S000214054290,화이트홀,"18,000","16,200",10%,5%,900,카를로 로벨리,쌤앤파커스,20240901,과학
17,9788965708063,S000001024798,시간은 흐르지 않는다,"16,000","14,400",10%,5%,800,카를로 로벨리,쌤앤파커스,20190610,과학
18,9788901283470,S000213378368,폭염 살인,"23,000","20,700",10%,5%,"1,150",제프 구델,웅진지식하우스,20240603,과학
19,9791193506530,S000213260194,고래는 물에서 숨 쉬지 않는다,"22,000","19,800",10%,5%,"1,100",앤디 돕슨,포레스트북스,20240516,과학
20,9791165215842,S000001834636,이토록 뜻밖의 뇌과학,"16,000","14,400",10%,5%,800,리사 팰트먼 배럿,더퀘스트,20210805,과학
21,9791169257176,S000201506321,아주 위험한 과학책,"23,000","20,700",10%,5%,"1,150",랜들 먼로,시공사,20230427,과학
22,9791192389530,S000211905580,센세이셔널,"22,000","19,800",10%,5%,"1,100",애슐리 워드,상상스퀘어,20240110,과학
23,9791165219550,S000061352558,미적분의 쓸모,"19,500","17,550",10%,5%,970,한화택,더퀘스트,20220521,과학
24,9788962622508,S000000970998,떨림과 울림,"15,000","13,500",10%,5%,750,김상욱,동아시아,20181107,과학
25,9791191122633,S000213448322,과학을 보다 2: 바로 읽고 바로 써먹는 기발하고 수상한 과학책,"19,800","17,820",10%,5%,990,김범준 외,알파미디어,20240621,과학
26,9788901165851,S000000406959,E=mc2,"17,000","15,300",10%,5%,850,데이비드 보더니스,웅진지식하우스,20140725,과학
27,9791130652016,S000213026035,물리학자는 두뇌를 믿지 않는다,"18,500","16,650",10%,5%,920,브라이언 키팅,다산초당,20240422,과학
28,9788965403388,S000200053547,통계 101×데이터 분석,"22,000","19,800",10%,5%,"1,100",아베 마사토,프리렉,20221031,과학
29,9788932919584,S000000582009,우리는 왜 잠을 자야 할까,"23,000","20,700",10%,5%,"1,150",매슈 워커,열린책들,20190225,과학
30,9788934955177,S000211612929,양자컴퓨터의 미래,"24,800","22,320",10%,5%,"1,240",미치오 카쿠,김영사,20231211,과학
1,9791191600704,S000001952241,진짜 쓰는 실무 엑셀,"21,000","18,900",10%,5%,"1,050",오빠두(전진권),제이펍,20220215,컴퓨터/IT
2,9791163034735,S000202532365,Do it! 점프 투 파이썬,"22,000","19,800",10%,5%,"1,100",박응용,이지스퍼블리싱,20230615,컴퓨터/IT
3,9791129708328,S000061838415,회사는 엑셀을 가르쳐주지 않아요,"18,000","16,200",10%,5%,900,쏘피(박성희),메가스터디북스,20220920,컴퓨터/IT
4,9791163036234,S000213900214,된다! 하루 만에 끝내는 챗GPT 활용법,"17,200","15,480",10%,5%,860,프롬프트 크리에이터,이지스퍼블리싱,20240729,컴퓨터/IT
5,9791162245651,S000061352349,혼자 공부하는 파이썬,"22,000","19,800",10%,5%,"1,100",윤인성,한빛미디어,20220601,컴퓨터/IT
6,9788962632729,S000213057707,침묵의 봄,"22,000","19,800",10%,5%,"1,100",레이첼 카슨,에코리브르,20240430,기술/공학
7,9791162243091,S000061584886,혼자 공부하는 컴퓨터 구조+운영체제,"28,000","25,200",10%,5%,"1,400",강민철,한빛미디어,20220816,컴퓨터/IT
8,9791162243664,S000001810330,혼자 공부하는 머신러닝+딥러닝,"26,000","23,400",10%,5%,"1,300",박해선,한빛미디어,20201221,컴퓨터/IT
9,9791194084006,S000213362002,최고의 프롬프트 엔지니어링 강의,"24,000","21,600",10%,5%,"1,200",김진중,리코멘드,20240610,컴퓨터/IT
10,9791140714063,S000213899496,디자인 구구단,"20,000","18,000",10%,5%,"1,000",에이핫,길벗,20240805,컴퓨터/IT
11,9791189909703,S000213834592,LLM을 활용한 실전 AI 애플리케이션 개발,"32,000","28,800",10%,5%,"1,600",허정준,책만,20240725,컴퓨터/IT
12,9791192987170,S000202672610,진짜 쓰는 프리미어 프로 영상 편집,"24,000","21,600",10%,5%,"1,200",조블리(조애리),제이펍,20230703,컴퓨터/IT
13,9791198364272,S000212567721,제가 쓰는 챗GPT는 당신이 쓰는 챗GPT와 전혀 다릅니다,"18,800","16,920",10%,5%,940,허민,리코멘드,20240308,컴퓨터/IT
14,9791165219529,S000001834833,면접을 위한 CS 전공지식 노트,"24,000","21,600",10%,5%,"1,200",주홍철,길벗,20220428,컴퓨터/IT
15,9791140708895,S000212670871,"엑셀마왕의 엑셀 이럴 땐, 이렇게!","20,000","18,000",10%,5%,"1,000",엑셀마왕(임규범),길벗,20240320,컴퓨터/IT
16,9788966264254,S000211656186,가상 면접 사례로 배우는 대규모 시스템 설계 기초 2,"36,000","32,400",10%,5%,"1,800",알렉스 쉬 외,인사이트,20240102,컴퓨터/IT
17,9788966263158,S000001033116,가상 면접 사례로 배우는 대규모 시스템 설계 기초,"24,000","21,600",10%,5%,"1,200",알렉스 쉬,인사이트,20210728,컴퓨터/IT
18,9791158394721,S000209663807,진짜 챗GPT 활용법,"20,000","18,000",10%,5%,"1,000",김준성 외,위키북스,20231018,컴퓨터/IT
19,9791196918033,S000001981866,비전공자를 위한 이해할 수 있는 IT 지식,"16,800","15,120",10%,5%,840,최원영,티더블유아이지,20200714,컴퓨터/IT
20,9791169212427,S000212999739,켄트 벡의 Tidy First?: 더 나은 소프트웨어 설계를 위한 32가지 코드 정리법,"22,000","19,800",10%,5%,"1,100",켄트 벡,한빛미디어,20240419,컴퓨터/IT
21,9791169211987,S000212055919,맛있는 디자인 포토샵&일러스트레이터 CC 2024,"26,000","23,400",10%,5%,"1,300",빨간고래 외,한빛미디어,20240131,컴퓨터/IT
22,9791169210911,S000202252289,혼자 공부하는 C 언어,"26,000","23,400",10%,5%,"1,300",서현우,한빛미디어,20230518,컴퓨터/IT
23,9791169212144,S000212911507,혼자 공부하는 네트워크,"28,000","25,200",10%,5%,"1,400",강민철,한빛미디어,20240412,컴퓨터/IT
24,9791140708598,S000212568407,랭체인으로 LLM 기반의 AI 서비스 개발하기,"24,000","21,600",10%,5%,"1,200",서지영,길벗,20240227,컴퓨터/IT
25,9788968484636,S000001057805,밑바닥부터 시작하는 딥러닝,"24,000","21,600",10%,5%,"1,200",사이토 고키,한빛미디어,20170103,컴퓨터/IT
26,9788966260959,S000001032980,Clean Code(클린 코드),"33,000","29,700",10%,5%,"1,650",로버트 C. 마틴,인사이트,20131224,컴퓨터/IT
27,9791158392239,S000001766445,모던 자바스크립트 Deep Dive,"45,000","40,500",10%,5%,"2,250",이웅모,위키북스,20200925,컴퓨터/IT
28,9791140703302,S000200929052,코딩 자율학습 나도코딩의 파이썬 입문,"24,000","21,600",10%,5%,"1,200",나도코딩,길벗,20230220,컴퓨터/IT
29,9791186573716,S000211780653,미드저니 프롬프트 마스터 가이드,"29,000","26,100",10%,5%,"1,450",조남경,비엘북스,20240123,컴퓨터/IT
30,9791158394646,S000210725203,모던 리액트 Deep Dive,"48,000","43,200",10%,5%,"2,400",김용찬,위키북스,20231107,컴퓨터/IT
1,9791171723331,S000211775099,원피스 107: 전설의 영웅,"5,500","4,950",10%,5%,270,Eiichiro Oda,대원씨아이,20240131,만화
2,9791136783134,S000212576847,주술회전 25: 인외마경 신주쿠 결전,"6,000","5,400",10%,5%,300,Gege Akutami,서울미디어코믹스(서울문화사),20240220,만화
3,9791168761841,S000001854018,룩 백,"6,000","5,400",10%,5%,300,Tatsuki Fujimoto,학산문화사,20220325,만화
4,9788954698726,S000212844557,패밀리 레스토랑 가자(상),"8,500","7,650",10%,5%,420,와야마 야마,문학동네,20240401,만화
5,9791136784469,S000213078461,명탐정 코난 104,"6,000","5,400",10%,5%,300,Gosho AOYAMA,서울미디어코믹스(서울문화사),20240424,만화
