순위,상품코드,판매상품ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행일자,분야
23,9791193166147,S000202799911,권력과 진보,"32,000","28,800",10%,5%,"1,600",대런 아세모글루 외,생각의힘,20230630,정치/사회
24,9791139700114,S000001718360,군중심리,"12,000","10,800",10%,5%,600,귀스타브 르 봉,현대지성,20211008,정치/사회
25,9788935678808,S000213999221,김대중 육성 회고록,"33,000","29,700",10%,5%,"1,650",연세대학교 김대중도서관,한길사,20240812,정치/사회
26,9791167140791,S000212729971,경쟁 교육은 야만이다,"18,500","16,650",10%,5%,920,김누리,해냄출판사,20240320,정치/사회
27,9791191517644,S000211552712,73년생 한동훈,"22,000","19,800",10%,5%,"1,100",심규진,새빛,20231225,정치/사회
28,9791191998290,S000213096537,자살하는 대한민국,"19,000","17,100",10%,5%,950,김현성,사이드웨이,20240430,정치/사회
29,9788932475066,S000212806534,컬트,"25,000","22,500",10%,5%,"1,250",맥스 커틀러 외,을유문화사,20240330,정치/사회
1,9791187506072,S000001902767,하나님의 열심,"20,000","18,000",10%,5%,"1,000",박영선,무근검(남포교회출판부),20171229,종교
2,9788936513191,S000000614285,스크루테이프의 편지,"13,000","11,700",10%,5%,650,C. S. 루이스,홍성사,20181115,종교
3,9791198740656,S000213379768,읽는 기도,"5,500","4,950",10%,5%,270,무명의 기도자,더하트,20240523,종교
4,9788953120501,S000000751652,"팀 켈러, 결혼을 말하다","15,000","13,500",10%,5%,750,팀 켈러,두란노서원,20140526,종교
5,9791170831211,S000212844203,고백의 언어들,"22,000","19,800",10%,5%,"1,100",김기석,복있는사람,20240401,종교
6,9791189611583,S000214428151,제사와 율법책 12(상),"25,000","22,500",10%,5%,"1,250",박윤식,휘선(성경보수구속사운동센터),20241027,종교
7,9791165045258,S000213133026,"하나님, 그래서 그러셨군요!","19,500","17,550",10%,5%,970,신애라,규장,20240508,종교
8,9791165045098,S000212416779,기도를 송두리째 바꾸신 예수 그리스도,"19,000","17,100",10%,5%,950,박리부가,규장,20240227,종교
9,9788936513269,S000000614289,순전한 기독교,"16,000","14,400",10%,5%,800,C. S. 루이스,홍성사,20181217,종교
10,9791192082103,S000213625167,우리가 반드시 가야 할 나라,"6,500","5,850",10%,5%,320,천주영,하늘기획,20240628,종교
11,9788904141555,S000213908307,5가지 사랑의 언어,"14,000","12,600",10%,5%,700,게리 채프먼,생명의말씀사,20240730,종교
12,9791187297413,S000061353499,법륜 스님의 반야심경 강의,"19,500","17,550",10%,5%,970,법륜,정토출판,20220630,종교
13,9788953119901,S000000751591,일과 영성,"14,000","12,600",10%,5%,700,팀 켈러,두란노서원,20131118,종교
14,9788953128286,S000000752067,팀 켈러의 내가 만든 신,"14,000","12,600",10%,5%,700,팀 켈러,두란노서원,20170509,종교
15,9791165045432,S000213852478,하나님의 DNA,"23,000","20,700",10%,5%,"1,150",최상훈,규장,20240730,종교
16,9788938814623,S000000634514,목적이 이끄는 삶,"13,000","11,700",10%,5%,650,릭 워렌,디모데,20100527,종교
17,9791193454596,S000212653587,인생의 괴로움과 깨달음,"20,000","18,000",10%,1%,200,강성용,불광출판사,20240308,종교
18,9791198267634,S000208827959,버리기 잘한 습관들,"11,000","9,900",10%,5%,550,박길웅,구름이머무는동안,20230912,종교
19,9788953125780,S000000751913,팀 켈러의 탕부 하나님,"10,000","9,000",10%,5%,500,팀 켈러,두란노서원,20160711,종교
20,9788951119927,S000000714123,나와 너,"12,000","10,800",10%,5%,600,마르틴 부버,대한기독교서회,20200325,종교
21,9791195543779,S000001963871,어? 성경이 읽어지네!(구약),"23,000","20,700",10%,5%,"1,150",이애실,성경방,20180320,종교
22,9791165045296,S000213290016,환영합니다 성령님,"25,000","22,500",10%,5%,"1,250",손기철,규장,20240522,종교
23,9788904164066,S000000413484,지저스 콜링,"12,000","10,800",10%,5%,600,사라 영,생명의말씀사,20121130,종교
24,9788953148208,S000212671137,교회 속 반그리스도인,"14,000","12,600",10%,5%,700,조정민,두란노,20240320,종교
25,9788953122147,S000000751765,팀 켈러의 기도,"16,000","14,400",10%,5%,800,팀 켈러,두란노서원,20150519,종교
26,9788954637169,S000000779365,법륜 스님의 행복,"15,000","13,500",10%,5%,750,법륜,나무의마음,20160817,종교
27,9788985961714,S000001351328,법륜스님의 금강경 강의,"27,000","24,300",10%,5%,"1,350",법륜,정토출판,20121123,종교
28,9791192997254,S000202248559,이제서야 이해되는 불교,"18,000","16,200",10%,5%,900,원영,불광출판사,20230523,종교
29,9791165045609,S000214304603,한국 교회 트렌드 2025,"22,000","19,800",10%,5%,"1,100",지용근 외,규장,20240925,종교
30,9788932816425,S000000579664,내면세계의 질서와 영적 성장,"18,000","16,200",10%,5%,900,고든 맥도날드,IVP,20180910,종교
1,9791191061048,S000001947596,언젠가 우리가 같은 별을 바라본다면,"12,000","10,800",10%,5%,600,차인표,해결책,20211215,청소년
2,9791167552723,S000213634979,죽이고 싶은 아이 2,"14,000","12,600",10%,5%,700,이꽃님,우리학교,20240701,청소년
3,9791198682550,S000213690082,너에게 들려주는 단단한 말,"18,000","16,200",10%,5%,900,김종원,퍼스트펭귄,20240710,청소년
4,9788954694575,S000208591551,여름을 한 입 베어 물었더니,"12,500","11,250",10%,5%,620,이꽃님,문학동네,20230818,청소년
5,9791193647646,S000211975066,시한부,"16,800","15,120",10%,5%,840,백은별,바른북스,20240123,청소년
6,9788954650212,S000000780033,세계를 건너 너에게 갈게,"13,500","12,150",10%,5%,670,이꽃님,문학동네,20210924,청소년
7,9791198363503,S000202972044,아몬드(청소년),"16,800","15,120",10%,5%,840,손원평,다즐링,20230714,청소년
8,9791167550972,S000201203797,당연하게도 나는 너를,"13,500","12,150",10%,5%,670,이꽃님,우리학교,20230314,청소년
9,9791168121065,S000001852269,오백 년째 열다섯,"12,500","11,250",10%,5%,620,김혜정,위즈덤하우스,20230728,청소년
10,9791193506448,S000213260277,신화의 숲,"18,000","16,200",10%,5%,900,김헌,포레스트북스,20240520,청소년
11,9791130604626,S000001686280,이토록 공부가 재미있어지는 순간(50만 부 기념 우리들 에디션),"18,000","16,200",10%,5%,900,박성혁,다산북스,20230801,청소년
12,9791168127630,S000209008360,비스킷,"14,800","13,320",10%,5%,740,김선미,위즈덤하우스,20230918,청소년
13,9788954654753,S000000780281,체리새우: 비밀글입니다,"11,500","10,350",10%,5%,570,황영미,문학동네,20190128,청소년
14,9788954691154,S000201044479,고요한 우연,"12,500","11,250",10%,5%,620,김수빈,문학동네,20230220,청소년
15,9788936457259,S000213094134,율의 시선,"13,000","11,700",10%,5%,650,김민서,창비,20240426,청소년
16,9788949123554,S000212852109,기억 전달자,"16,000","14,400",10%,5%,800,로이스 로리,비룡소,20240325,청소년
17,9788949123493,S000000699547,순례 주택,"15,000","13,500",10%,5%,750,유은실,비룡소,20230824,청소년
18,9788949139999,S000212855674,모모(출간 50주년 기념 개정판),"22,000","19,800",10%,5%,"1,100",미하엘 엔데,비룡소,20240329,청소년
19,9791167030313,S000001848643,가짜 모범생,"12,000","10,800",10%,5%,600,손현주,특별한서재,20211015,청소년
20,9791193506363,S000212390275,공부가 설렘이 되는 순간,"18,800","16,920",10%,5%,940,조승우,포레스트북스,20240221,청소년
21,9791198682529,S000213325910,바빌론의 부자 멘토와 꼬마 제자,"18,500","16,650",10%,5%,920,조지 S. 클레이슨,퍼스트펭귄,20240525,청소년
22,9791168341906,S000213184591,셰이커,"15,000","13,500",10%,5%,750,이희영,래빗홀,20240508,청소년
23,9791191360998,S000212463324,"경제수학, 위기의 편의점을 살려라!","15,000","13,500",10%,5%,750,김나영,생각학교,20240211,청소년
24,9788963720654,S000000992525,그대들 어떻게 살 것인가,"15,000","13,500",10%,5%,750,요시노 겐자부로,양철북,20120628,청소년
25,9791130671024,S000213237208,리버보이,"15,000","13,500",10%,5%,750,팀 보울러,다산책방,20240510,청소년
26,9791192625485,S000202469353,고전의 숲,"17,500","15,750",10%,5%,870,김태완,포레스트북스,20230605,청소년
27,9791193476031,S000213156933,아직도 악어와 악어새 이야기를 믿어?,"16,500","14,850",10%,5%,820,이하늬,스테이블,20240514,청소년
28,9791130695723,S000200473038,열다섯에 곰이라니,"13,000","11,700",10%,5%,650,추정경,다산책방,20221220,청소년
29,9791189584795,S000001928482,철학의 숲,"16,000","14,400",10%,5%,800,브렌던 오도너휴,포레스트북스,20200826,청소년
1,9788927812975,S000061350533,당신은 사건 현장에 있습니다,"28,000","25,200",10%,5%,"1,400",모데스토 가르시아,중앙북스,20220530,취미/실용/스포츠
2,9791161507200,S000202801381,New 미꽃체 손글씨 노트,"16,700","15,030",10%,5%,830,최현미(미꽃),시원북스,20230627,취미/실용/스포츠
3,9788971429914,S000001100374,스프링북 스도쿠 1(초급 중급),"7,500","6,750",10%,5%,370,스도쿠 존 연구소 외,시간과공간사,20180108,취미/실용/스포츠
4,9791196535049,S000001977637,스도쿠 2(중급/고급),"7,000","6,300",10%,5%,350,수피아편집기획팀,수피아(supia),20190527,취미/실용/스포츠
5,9791196535032,S000001977636,스도쿠 1(초급/중급),"7,000","6,300",10%,5%,350,수피아편집기획팀,수피아(supia),20190518,취미/실용/스포츠
6,9788927879947,S000208710089,크라임 퍼즐,"19,500","17,550",10%,5%,970,G.T.Karber,중앙북스,20230811,취미/실용/스포츠
7,9788971429921,S000001100375,스프링북 스도쿠 2(고급 고수),"7,500","6,750",10%,5%,370,스도쿠 존 연구소 외,시간과공간사,20180108,취미/실용/스포츠
8,9791190818162,S000061585805,어른을 위한 고급 어휘력 가로세로 낱말퍼즐,"11,900","10,710",10%,5%,590,박찬영,시간과공간사,20220930,취미/실용/스포츠
9,9791169780285,S000212571908,2024 프로야구 가이드북,"27,000","24,300",10%,5%,"1,350",나유리 외,브레인스토어,20240329,취미/실용/스포츠
10,9791171727032,S000211815637,소워니놀이터 달콤하우스 스퀴시북,"20,000","18,000",10%,5%,"1,000",조윤성,대원앤북,20240102,취미/실용/스포츠
11,9788927879718,S000201419276,당신은 사건 현장에 있습니다 시즌 2,"28,000","25,200",10%,5%,"1,400",모데스토 가르시아,중앙북스,20230403,취미/실용/스포츠
12,9788901289632,S000214650354,김대리의 취향 니트,"21,000","18,900",10%,5%,"1,050",바늘이야기 김대리,웅진리빙하우스,20241111,취미/실용/스포츠
13,9788947547994,S000000696202,벤 호건 골프의 기본,"20,000","18,000",10%,5%,"1,000",벤 호건 외,한국경제신문,20220310,취미/실용/스포츠
14,9791155719435,S000208964945,더 챔피언(The Champion)(2023-2024),"33,000","29,700",10%,5%,"1,650",송영주 외,맥스미디어,20230918,취미/실용/스포츠
15,9788901276526,S000210964535,김대리의 데일리 뜨개,"21,000","18,900",10%,5%,"1,050",바늘이야기 김대리,웅진리빙하우스,20231108,취미/실용/스포츠
16,9791188726493,S000001917974,20인의 스타플레이어에게 배우는 슈퍼스타 축구 기술,"18,800","16,920",10%,5%,940,에이든 레드넷지,라의눈,20200501,취미/실용/스포츠
17,9791160322255,S000213447825,나병관 프로의 탈골 스윙,"28,000","25,200",10%,5%,"1,400",나병관,싸이프레스,20240603,취미/실용/스포츠
18,9791193866009,S000212755315,어른을 위한 두뇌 피트니스,"16,800","15,120",10%,5%,840,개러스 무어 외,피카 라이프(FIKA LIFE),20240325,취미/실용/스포츠
19,9791138364188,S000211729307,소워니놀이터와 함께 떠나는 띠부띠부 세계여행,"20,000","18,000",10%,5%,"1,000",조윤성,시대인,20240125,취미/실용/스포츠
20,9791187936572,S000209211709,일생에 한 번 내 집을 고친다면,"22,000","19,800",10%,5%,"1,100",오아시스,터치아트,20230920,취미/실용/스포츠
21,9791130647623,S000211555642,마루는 강쥐 짱 멋진 마루 스티커북,"16,800","15,120",10%,5%,840,모죠,다산북스,20231205,취미/실용/스포츠
22,9791169780278,S000212265706,2024 K리그 스카우팅리포트,"25,000","22,500",10%,5%,"1,250",김성원 외,브레인스토어,20240308,취미/실용/스포츠
23,9791172036645,S000212717785,프로야구 스카우팅 리포트 2024,"23,000","20,700",10%,5%,"1,150",최훈 외,하빌리스,20240329,취미/실용/스포츠
24,9791161507668,S000209186036,이토록 멋진 영어 필기체 손글씨 (사철제본),"16,700","15,030",10%,5%,830,고민지(잉크잉크),시원북스,20230918,취미/실용/스포츠
25,9791198441508,S000209184925,드루이드가 되고 싶은 당신을 위한 안내서,"24,000","21,600",10%,5%,"1,200",프로개,드루이드아일랜드,20230920,취미/실용/스포츠
26,9791190846103,S000001944788,어른을 위한 두뇌 놀이 책,"9,900","8,910",10%,5%,490,개러스 무어,한빛라이프,20210820,취미/실용/스포츠
27,9791169780148,S000208496416,2023 2024 프리미어리그 가이드북,"29,000","26,100",10%,5%,"1,450",히든풋볼,브레인스토어,20230912,취미/실용/스포츠
28,9791161508467,S000213304846,NEW 미꽃체 필사 노트,"19,800","17,820",10%,5%,990,최현미(미꽃),시원북스,20240528,취미/실용/스포츠
29,9791160079876,S000211645530,암기할 필요 없는 타로 웨이트 카드 세트,"20,000","18,000",10%,5%,"1,000",미미코,한스미디어,20231219,취미/실용/스포츠
30,9788988060391,S000001391156,크툴루의 부름: 수호자 룰북,"38,000","34,200",10%,5%,"1,900",샌디 피터슨 외,초여명,20161130,취미/실용/스포츠
1,9788965422785,S000001020219,해커스 토익 기출 VOCA(보카),"12,900","11,610",10%,5%,640,David Cho,해커스어학연구소,20240819,외국어
2,9788917237481,S000200524493,ETS 토익기출 파트별 VOCA,"13,000","11,700",10%,5%,650,ETS,YBM,20221223,외국어
3,9788917235944,S000000450452,토익 단기공략 750+(LC+RC),"18,000","16,200",10%,5%,900,ETS,YBM,20200820,외국어
4,9788965424765,S000200406668,해커스 토익 RC Reading(리딩) 기본서,"18,800","16,920",10%,5%,940,David Cho,해커스어학연구소,20240819,외국어
5,9788965421030,S000001020123,해커스 보카(Hackers Vocabulary),"16,900","15,210",10%,5%,840,David Cho,해커스어학연구소,20250407,외국어
6,9788965424772,S000200406673,해커스 토익 LC Listening(리스닝) 기본서,"18,800","16,920",10%,5%,940,David Cho,해커스어학연구소,20240819,외국어
7,9788965424628,S000001020313,한 권으로 끝내는 해커스 토익 700+(LC+RC+VOCA),"19,800","17,820",10%,5%,990,해커스 어학연구소,해커스어학연구소,20250120,외국어
8,9791186858387,S000001893506,28시간에 끝내는 토익스피킹 스타트,"17,900","16,110",10%,5%,890,황인기 외,시원스쿨닷컴,20250325,외국어
9,9788917237955,S000061350447,ETS 토익 단기공략 850+(LC+RC),"19,500","17,550",10%,5%,970,ETS,YBM,20220630,외국어
10,9788965423379,S000001020255,해커스 토익 스타트 RC Reading (리딩) 입문서,"14,900","13,410",10%,5%,740,David Cho,해커스어학연구소,20250407,외국어
11,9788965424208,S000001020288,해커스 첫토익 LC+RC+VOCA 기초입문서,"14,900","13,410",10%,5%,740,해커스 어학연구소,해커스어학연구소,20240812,외국어
12,9788965425991,S000208719341,해커스 토플 리딩(Hackers TOEFL Reading),"26,000","23,400",10%,5%,"1,300",David Cho,해커스어학연구소,20250113,외국어
13,9788965423386,S000001020256,해커스 토익 스타트 LC Listening (리스닝) 입문서,"14,900","13,410",10%,5%,740,David Cho,해커스어학연구소,20240902,외국어
14,9788917235937,S000000450451,ETS 토익 단기 공략 650+(LC+RC),"18,000","16,200",10%,5%,900,ETS,YBM,20200723,외국어
15,9788917238594,S000000450495,ETS 토익 정기시험 기출입문서 RC 리딩,"15,000","13,500",10%,5%,750,ETS,YBM,20211220,외국어
16,9788965424222,S000001020290,20일 만에 끝내는 해커스 토익 750+ RC(리딩),"14,900","13,410",10%,5%,740,David Cho,해커스어학연구소,20240102,외국어
17,9788965424871,S000061351206,10일 만에 끝내는 해커스 토익스피킹(토스),"18,900","17,010",10%,5%,940,해커스 어학연구소,해커스어학연구소,20230703,외국어
18,9788965426004,S000208719347,해커스 토플 리스닝(Hackers TOEFL Listening),"32,000","28,800",10%,5%,"1,600",David Cho,해커스어학연구소,20250113,외국어
19,9788917238587,S000000450494,ETS 토익 정기시험 기출입문서 LC 리스닝,"15,000","13,500",10%,5%,750,ETS,YBM,20211213,외국어
20,9788965423300,S000001020250,해커스 토익 왕기초 RC Reading (리딩),"13,900","12,510",10%,5%,690,해커스 어학연구소,해커스어학연구소,20240909,외국어
21,9788965426011,S000202745429,해커스 토플 라이팅(Hackers TOEFL Writing),"25,000","22,500",10%,5%,"1,250",David Cho,해커스어학연구소,20250120,외국어
22,9788965426103,S000202745446,해커스 토플 리딩 인터미디엇(Hackers TOEFL Reading Intermediate),"25,000","22,500",10%,5%,"1,250",David Cho,해커스어학연구소,20250106,외국어
23,9788917238686,S000000450504,박혜원 파워토익 VOCA 보카,"12,800","11,520",10%,5%,640,박혜원,YBM,20211224,외국어
24,9788965424864,S000060622715,10일 만에 끝내는 해커스 토익스피킹(토스) 스타트,"18,900","17,010",10%,5%,940,David Cho,해커스어학연구소,20230703,외국어
25,9788965424239,S000001020291,20일 만에 끝내는 해커스 토익 750+ LC(리스닝),"14,900","13,410",10%,5%,740,David Cho,해커스어학연구소,20240805,외국어
26,9788965423294,S000001020249,해커스 토익 왕기초 LC Listening (리스닝),"13,900","12,510",10%,5%,690,해커스어학연구소,해커스어학연구소,20240909,외국어
27,9788965426080,S000202745434,해커스 토플 리딩 베이직(Hackers TOEFL Reading Basic),"20,000","18,000",10%,5%,"1,000",David Cho,해커스어학연구소,20250203,외국어
28,9788965423119,S000001020243,해커스 토플 스피킹(Hackers TOEFL Speaking),"23,900","21,510",10%,5%,"1,190",David Cho,해커스어학연구소,20241022,외국어
29,9788965423027,S000001020234,해커스 토플 리스닝 인터미디엇(Hackers TOEFL Listening Intermediate),"24,900","22,410",10%,5%,"1,240",David Cho,해커스어학연구소,20250106,외국어
30,9791161503073,S000001802113,15개 템플릿으로 끝내는 토익스피킹(TOEIC Speaking) 필수 전략서,"12,800","11,520",10%,5%,640,황인기(제이크) 외,시원스쿨닷컴,20220602,외국어
1,9788936434120,S000000610612,소년이 온다,"15,000","13,500",10%,5%,750,한강,창비,20140519,소설
2,9788936434595,S000000610650,채식주의자,"17,000","15,300",10%,5%,850,한강,창비,20220328,소설
3,9788954682152,S000000781116,작별하지 않는다,"16,800","15,120",10%,5%,840,한강,문학동네,20210909,소설
4,9788998441012,S000001632467,모순,"13,000","11,700",10%,5%,650,양귀자,쓰다,20130401,소설
5,9788954651134,S000000780090,흰,"14,500","13,050",10%,5%,720,한강,문학동네,20180425,소설
6,9788954616515,S000000778206,희랍어 시간,"13,000","11,700",10%,5%,650,한강,문학동네,20111110,소설
7,9791167372864,S000201621499,구의 증명(리커버판),"12,000","10,800",10%,5%,600,최진영,은행나무,20230426,소설
8,9791161571188,S000001803157,불편한 편의점(벚꽃 에디션),"16,800","15,120",10%,5%,840,김호연,나무옆의자,20210420,소설
9,9788954681155,S000000781065,홍학의 자리,"14,000","12,600",10%,5%,700,정해연,엘릭시르,20210726,소설
10,9788954693462,S000202496475,디 에센셜: 한강(무선 보급판),"17,000","15,300",10%,5%,850,한강,문학동네,20230601,소설
11,9791141601300,S000214032055,이중 하나는 거짓말,"16,000","14,400",10%,5%,800,김애란,문학동네,20240827,소설
12,9788954695053,S000203331812,아주 희미한 빛으로도,"16,800","15,120",10%,5%,840,최은영,문학동네,20230807,소설
13,9791161571768,S000212997171,나의 돈키호테,"18,000","16,200",10%,5%,900,김호연,나무옆의자,20240425,소설
14,9788937473401,S000200550189,급류,"14,000","12,600",10%,5%,700,정대건,민음사,20221222,소설
15,9791167374561,S000214042901,영원한 천국,"19,800","17,820",10%,5%,990,정유정,은행나무,20240828,소설
16,9791193937198,S000213999814,빛이 이끄는 곳으로,"18,800","16,920",10%,5%,940,백희성,북로망스,20240821,소설
17,9791162203620,S000001808685,파과,"15,800","14,220",10%,5%,790,구병모,위즈덤하우스,20180416,소설
18,9788954638746,S000212854941,제15회 젊은작가상 수상작품집(2024),"15,000","13,500",10%,5%,750,김멜라 외,문학동네,20240331,소설
19,9788998441074,S000001632473,나는 소망한다 내게 금지된 것을,"15,000","13,500",10%,5%,750,양귀자,쓰다,20190420,소설
20,9791198530325,S000211788361,메리골드 마음 사진관,"17,000","15,300",10%,5%,850,윤정은,북로망스,20240112,소설
21,9788932034812,S000000570387,여수의 사랑,"16,000","14,400",10%,5%,800,한강,문학과지성사,20181109,소설
22,9791161571379,S000061532631,불편한 편의점 2(단풍 에디션),"16,800","15,120",10%,5%,840,김호연,나무옆의자,20220810,소설
23,9788956609959,S000000828491,종의 기원,"16,800","15,120",10%,5%,840,정유정,은행나무,20160516,소설
24,9791191891287,S000201142283,메리골드 마음 세탁소(30만 부 기념 한정 플라워 에디션),"15,000","13,500",10%,5%,750,윤정은,북로망스,20230306,소설
25,9791196222628,S000001973588,회색 인간,"13,000","11,700",10%,5%,650,김동식,요다,20171227,소설
26,9788954697941,S000213184567,두 사람의 인터내셔널,"16,800","15,120",10%,5%,840,김기태,문학동네,20240515,소설
27,9791190174756,S000001936854,"칵테일, 러브, 좀비 (리커버)","13,000","11,700",10%,5%,650,조예은,안전가옥,20230125,소설
28,9788936437978,S000000610788,대도시의 사랑법,"18,000","16,200",10%,5%,900,박상영,창비,20190628,소설
29,9788936434434,S000000610640,철도원 삼대,"20,000","18,000",10%,5%,"1,000",황석영,창비,20200605,소설
30,9791165341909,S000001835614,달러구트 꿈 백화점,"13,800","12,420",10%,5%,690,이미예,팩토리나인,20200708,소설
